station_nm,site_no,FID,N,Latitude,Longitude,NivelConsistencia,Date,Hora,NumMedicao,DataLiq,HoraLiq,NumMedicaoLiq,Cota,Vazao,AreaMolhada,Largura,VelMedia,ConcentracaoMatSuspensao,CotaDeMedicao,TemperaturaDaAgua,ConcentracaoDaAmostraExtra,CondutividadeEletrica,sample_method,agency_cd,match_dt_start,match_dt_end,abs_lag_days
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,14/04/2011,01/01/1900 11:20,72,14/04/2011,01/01/1900 08:40,72,406,"108,329","97,15","26,5","1,115","438,1",406,"25,2","669,6","33,25",,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,20/10/2010,01/01/1900 15:00,71,20/10/2010,01/01/1900 12:10,71,316,"54,324","79,5","22,1","0,683",386,316,"27,3","128,31","26,89",,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,14/04/2010,01/01/1900 11:35,70,14/04/2010,01/01/1900 08:38,70,349,"71,369","94,46","24,2","0,756","353,2",349,"26,2","1556,5","27,89",,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,26/06/2009,01/01/1900 13:28,68,26/06/2009,01/01/1900 10:07,68,304,"44,8","74,3","22,3","0,604","167,29",304,22,"229,4","32,19",,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,22/08/2008,01/01/1900 12:10,67,22/08/2008,01/01/1900 09:15,67,296,"51,3",82,"21,5","0,625",201,296,27,"",26,,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,26/05/2008,01/01/1900 12:00,66,26/05/2008,01/01/1900 08:20,66,,"67,8","92,8","22,9","0,724","339,42",337,"21,4","226,55",127,,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,25/10/2007,01/01/1900 11:40,65,25/10/2007,01/01/1900 08:40,65,356,"87,291","90,47","24,5","0,965","978,61",354,"25,2","8,92",25,,ANA,,,8
E,66855000,20803,20811,"-18,71361111","-54,56722222",1,04/07/2007,01/01/1900 11:25,64,04/07/2007,01/01/1900 08:20,64,307,"57,793","79,47",22,"0,727","194,63",307,"20,3","",24,,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,16/08/2012,01/01/1900 07:00,6,16/08/2012,01/01/1900 07:00,,22,"5,415","5,921","19,1","0,922",8,22,19,"","",,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,24/07/2012,01/01/1900 07:00,5,24/07/2012,01/01/1900 07:00,,28,"6,576","6,876","19,1","0,96",6,28,19,"","",,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,15/05/2012,01/01/1900 07:00,4,15/05/2012,01/01/1900 07:00,,43,"12,844","11,016","20,4","1,172",20,43,17,"","",,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,26/02/2012,01/01/1900 07:00,7,26/02/2012,01/01/1900 07:00,,,"22,601","15,022","20,3","1,509","",,18,"","",,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,14/12/2011,01/01/1900 07:00,3,14/12/2011,01/01/1900 07:00,,34,"10,329","7,6",20,"1,357",23,34,21,"","",,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,24/10/2011,01/01/1900 07:00,2,24/10/2011,01/01/1900 07:00,,34,"8,218","7,486","19,7","1,104",58,34,19,"","",,ANA,,,8
F,66861000,21008,21016,"-19,41333333","-54,45888889",1,26/07/2011,01/01/1900 07:00,1,26/07/2011,01/01/1900 07:00,,32,"7,083","7,22",19,"0,986",34,32,20,"","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,19/07/2019,12:50:00,387,19/07/2019,10:35:00,387,375,"241,743","229,7","151,7","1,05","118,9",375,"22,4","","83,8",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,24/04/2019,10:25:00,386,24/04/2019,08:30:00,386,436,425,"371,2","172,9","1,15","313,6",437,"25,81","","32,8",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,15/02/2019,10:55:00,385,15/02/2019,08:55:00,385,459,"556,166","409,98","164,14","1,204",1254,459,"27,13","","52,7",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,19/10/2018,11:25:00,384,19/10/2018,06:08:00,384,379,"262,035","303,11","156,86","0,853","176,9",379,"29,1","","217,8",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,11/07/2018,12:50:00,383,11/07/2018,16:07:00,383,364,267,"263,5",126,"1,01","197,7",364,"19,3","","40,9",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,16/04/2018,10:55:00,382,16/04/2018,08:55:00,382,408,"377,36","374,6","106,15","1,26",1040,408,"25,63","","52,5",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,29/10/2017,09:40:00,380,29/10/2017,08:18:00,380,361,"197,16","207,085","99,75","1,031","52,63",361,"26,4","","49,7",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,15/07/2017,10:10:00,379,15/07/2017,08:43:00,379,363,"228,846","278,234","163,93","0,857","122,9",363,"21,1","","89,5",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,28/11/2016,09:40:00,377,28/11/2016,08:13:00,377,375,"230,368","251,561","140,25","0,916","200,1",375,"27,9","","53,5",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,19/08/2016,10:55:00,376,19/08/2016,09:47:00,376,372,"238,718","255,33","165,4","0,966",289,372,"24,6","","25,6",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,20/11/2015,10:20:00,374,20/11/2015,08:45:00,374,382,"278,905","288,127","159,18","0,969","330,9",382,"27,58","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,10/08/2015,10:40:00,373,10/08/2015,09:47:00,373,353,"229,449","224,993","143,36","1,017",44,353,"22,59","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,14/04/2015,09:32:00,372,14/04/2015,08:28:00,372,398,"387,238","305,033","174,15","1,271","11,4",397,"26,91","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,21/11/2014,09:40:00,371,21/11/2014,07:05:00,371,373,"205,432","255,34","146,28","0,882","139,5",373,"28,4","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,11/08/2014,09:39:00,370,11/08/2014,08:30:00,370,362,"215,254","259,793","159,6","0,933","232,4",362,"","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,15/04/2014,12:40:00,369,15/04/2014,10:48:00,369,418,"448,641","326,77",157,"1,373",805,418,"27,57","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,07/11/2013,11:05:00,368,07/11/2013,09:46:00,368,378,"221,182","243,63","162,6","1,013",477,378,"27,69","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,09/08/2013,10:10:00,367,09/08/2013,08:51:00,367,351,"210,522","226,85","160,37","0,906","237,9",351,22,"","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,29/04/2013,12:16:00,366,29/04/2013,10:41:00,366,373,"278,004","309,46",155,"0,909","327,3",373,"25,23","","22,7",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,10/12/2012,11:05:00,365,10/12/2012,10:01:00,365,384,"271,371","244,1","158,52","1,106",616,385,30,"","22,5",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,26/03/2012,11:39:00,362,26/03/2012,09:20:00,362,487,"249,22","252,07",140,"0,991",844,487,25,"","27,15",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,03/11/2011,09:30:00,361,03/11/2011,06:40:00,361,357,"287,363","277,87","107,5","0,667","357,2",357,"25,8","","26,53",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,02/08/2011,10:15:00,360,02/08/2011,07:05:00,360,333,"248,852","227,79",74,"1,092","544,4",333,"21,7","","30,81",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,15/04/2011,10:30:00,359,15/04/2011,07:10:00,359,400,"502,688","369,08","162,5","1,362","591,3",399,"26,2","655,5","37,98",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,21/10/2010,12:00:00,358,21/10/2010,09:40:00,358,345,"220,319","266,12","144,3","0,828","188,5",345,"28,4","272,1","26,53",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,15/04/2010,11:00:00,357,15/04/2010,08:14:00,357,353,319,278,"163,5","1,148","307,5",353,"26,5",2271,"30,9",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,28/09/2009,09:55:00,356,28/09/2009,07:36:00,356,352,"213,172","251,48","144,3","0,848","211,4",352,"27,5","312,7","37,67",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,29/06/2009,11:41:00,355,29/06/2009,09:00:00,355,347,252,248,143,"1,048","562,7",347,"23,5","772,4","35,07",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,21/08/2008,10:40:00,354,21/08/2008,08:00:00,354,331,216,228,"141,8","0,946","251,75",331,"24,5","813,54",39,,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,21/05/2008,11:30:00,353,21/05/2008,09:30:00,353,343,351,273,154,"1,283","463,73",343,"24,1","99,72",25,,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,24/10/2007,11:30:00,352,24/10/2007,07:30:00,352,357,"285,596","280,05",157,"1,02","370,27",356,"25,8","311,38",29,,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,05/07/2007,11:20:00,352,24/10/2007,07:30:00,352,334,"285,588","280,05",157,"1,02","397,44",356,"20,8","","",,ANA,,,8
A,66870000,20797,20805,"-18,50777778","-54,76194444",1,29/09/2005,11:00:00,349,29/09/2005,08:29:00,349,348,"279,171","282,94",164,"0,987",0,348,28,"502,86","33,5",,ANA,,,8
